"from","to","country","new","entire"
2020-03-10,2020-03-17,"Germany",7800,9257
2020-03-10,2020-03-17,"Iran",8127,16169
2020-03-10,2020-03-17,"Italy",21357,31506
2020-03-10,2020-03-17,"Spain",10053,11748
2020-03-10,2020-03-17,"US",5430,6141
2020-03-10,2020-03-17,"United Kingdom",3573,4462
2020-03-11,2020-03-18,"China",181,81102
2020-03-11,2020-03-18,"France",6831,9124
2020-03-11,2020-03-18,"Germany",10419,12327
2020-03-11,2020-03-18,"Iran",8361,17361
2020-03-11,2020-03-18,"Italy",23251,35713
2020-03-11,2020-03-18,"Spain",11633,13910
2020-03-11,2020-03-18,"US",7808,8917
2020-03-11,2020-03-18,"United Kingdom",4166,5467
2020-03-12,2020-03-19,"China",224,81156
2020-03-12,2020-03-19,"France",8677,10970
2020-03-12,2020-03-19,"Germany",13242,15320
2020-03-12,2020-03-19,"Iran",8332,18407
2020-03-12,2020-03-19,"Italy",25922,41035
2020-03-12,2020-03-19,"Spain",15686,17963
2020-03-12,2020-03-19,"US",12596,14157
2020-03-12,2020-03-19,"United Kingdom",4743,6533
2020-03-13,2020-03-20,"China",305,81250
2020-03-13,2020-03-20,"France",9077,12758
2020-03-13,2020-03-20,"Germany",16173,19848
2020-03-13,2020-03-20,"Iran",8280,19644
2020-03-13,2020-03-20,"Italy",29361,47021
2020-03-13,2020-03-20,"Spain",15178,20410
2020-03-13,2020-03-20,"US",17322,19479
2020-03-13,2020-03-20,"United Kingdom",5521,7791
2020-03-14,2020-03-21,"China",328,81305
2020-03-14,2020-03-21,"France",9967,14463
2020-03-14,2020-03-21,"Germany",17628,22213
2020-03-14,2020-03-21,"Iran",7881,20610
2020-03-14,2020-03-21,"Italy",32421,53578
2020-03-14,2020-03-21,"Spain",18983,25374
2020-03-14,2020-03-21,"US",22955,25825
2020-03-14,2020-03-21,"United Kingdom",6372,9006
2020-03-15,2020-03-22,"China",432,81435
2020-03-15,2020-03-22,"France",11711,16243
